# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	322	2019	+					dnaA		GUY30_RS00005	1698		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	322	2019	+	WP_167193018.1	WP_167193018.1		chromosomal replication initiator protein DnaA	dnaA		GUY30_RS00005	1698	565	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	2567	3706	+					dnaN		GUY30_RS00010	1140		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	2567	3706	+	WP_172173149.1	WP_172173149.1		DNA polymerase III subunit beta	dnaN		GUY30_RS00010	1140	379	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	3707	4843	+					recF		GUY30_RS00015	1137		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	3707	4843	+	WP_167193019.1	WP_167193019.1		DNA replication/repair protein RecF	recF		GUY30_RS00015	1137	378	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	4840	5352	+							GUY30_RS00020	513		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	4840	5352	+	WP_167193021.1	WP_167193021.1		DciA family protein			GUY30_RS00020	513	170	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	5573	7570	+					gyrB		GUY30_RS00025	1998		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	5573	7570	+	WP_167193023.1	WP_167193023.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		GUY30_RS00025	1998	665	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	7712	10279	+					gyrA		GUY30_RS00030	2568		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	7712	10279	+	WP_167193026.1	WP_167193026.1		DNA gyrase subunit A	gyrA		GUY30_RS00030	2568	855	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	10276	11130	+							GUY30_RS17825	855		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	10276	11130	+	WP_228281532.1	WP_228281532.1		DUF3566 domain-containing protein			GUY30_RS17825	855	284	
gene	tRNA	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	11292	11365	+							GUY30_RS00040	74		
tRNA		GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	11292	11365	+				tRNA-Ile			GUY30_RS00040	74		anticodon=GAT
gene	tRNA	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	11537	11609	+							GUY30_RS00045	73		
tRNA		GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	11537	11609	+				tRNA-Ala			GUY30_RS00045	73		anticodon=TGC
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	11992	13440	+							GUY30_RS00050	1449		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	11992	13440	+	WP_167200528.1	WP_167200528.1		DHA2 family efflux MFS transporter permease subunit			GUY30_RS00050	1449	482	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	13563	16184	+							GUY30_RS00055	2622		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	13563	16184	+	WP_167193028.1	WP_167193028.1		excinuclease ABC subunit UvrA			GUY30_RS00055	2622	873	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	16325	17632	+							GUY30_RS00060	1308		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	16325	17632	+	WP_167193030.1	WP_167193030.1		sodium:proton exchanger			GUY30_RS00060	1308	435	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	17643	18317	+							GUY30_RS00065	675		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	17643	18317	+	WP_167193032.1	WP_167193032.1		metal-dependent transcriptional regulator			GUY30_RS00065	675	224	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	18513	19946	-							GUY30_RS00070	1434		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	18513	19946	-	WP_228281533.1	WP_228281533.1		aldehyde dehydrogenase family protein			GUY30_RS00070	1434	477	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	20001	20378	+							GUY30_RS00075	378		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	20001	20378	+	WP_167193036.1	WP_167193036.1		VOC family protein			GUY30_RS00075	378	125	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	20442	21767	-							GUY30_RS00080	1326		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	20442	21767	-	WP_167193038.1	WP_167193038.1		MFS transporter			GUY30_RS00080	1326	441	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	21844	22338	+							GUY30_RS00085	495		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	21844	22338	+	WP_167193040.1	WP_167193040.1		helix-turn-helix transcriptional regulator			GUY30_RS00085	495	164	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	22396	23685	-							GUY30_RS00090	1290		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	22396	23685	-	WP_167193042.1	WP_167193042.1		MFS transporter			GUY30_RS00090	1290	429	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	23682	24341	-							GUY30_RS00095	660		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	23682	24341	-	WP_167193044.1	WP_167193044.1		TetR/AcrR family transcriptional regulator			GUY30_RS00095	660	219	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	24421	24939	-							GUY30_RS00100	519		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	24421	24939	-	WP_167193046.1	WP_167193046.1		DinB family protein			GUY30_RS00100	519	172	
gene	pseudogene	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	25023	25406	-							GUY30_RS00105	384		partial;pseudo
CDS	without_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	25023	25406	-				DUF488 family protein			GUY30_RS00105	384		partial;pseudo
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	25879	26484	+							GUY30_RS00110	606		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	25879	26484	+	WP_228281538.1	WP_228281538.1		hypothetical protein			GUY30_RS00110	606	201	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	26654	29998	-							GUY30_RS00115	3345		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	26654	29998	-	WP_228281539.1	WP_228281539.1		PDZ domain-containing protein			GUY30_RS00115	3345	1114	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	30086	31825	+					argS		GUY30_RS00120	1740		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	30086	31825	+	WP_167193052.1	WP_167193052.1		arginine--tRNA ligase	argS		GUY30_RS00120	1740	579	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	31855	33105	+							GUY30_RS00125	1251		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	31855	33105	+	WP_167193055.1	WP_167193055.1		MFS transporter			GUY30_RS00125	1251	416	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	33253	33993	-							GUY30_RS00130	741		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	33253	33993	-	WP_167193057.1	WP_167193057.1		hypothetical protein			GUY30_RS00130	741	246	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	34170	34712	+							GUY30_RS00135	543		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	34170	34712	+	WP_167193059.1	WP_167193059.1		peptidylprolyl isomerase			GUY30_RS00135	543	180	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	34750	35445	+							GUY30_RS00140	696		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	34750	35445	+	WP_167193062.1	WP_167193062.1		rhomboid family intramembrane serine protease			GUY30_RS00140	696	231	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	35821	36570	-							GUY30_RS00145	750		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	35821	36570	-	WP_167193064.1	WP_167193064.1		cell division protein CrgA			GUY30_RS00145	750	249	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	36835	38073	+							GUY30_RS00150	1239		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	36835	38073	+	WP_228281541.1	WP_228281541.1		class E sortase			GUY30_RS00150	1239	412	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	38075	38245	+							GUY30_RS00155	171		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	38075	38245	+	WP_167193066.1	WP_167193066.1		hypothetical protein			GUY30_RS00155	171	56	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	38242	38886	+							GUY30_RS00160	645		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	38242	38886	+	WP_167193068.1	WP_167193068.1		aminodeoxychorismate/anthranilate synthase component II			GUY30_RS00160	645	214	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	39043	39558	+							GUY30_RS00165	516		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	39043	39558	+	WP_228281543.1	WP_228281543.1		GyrI-like domain-containing protein			GUY30_RS00165	516	171	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	39622	41514	-					pknB		GUY30_RS00170	1893		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	39622	41514	-	WP_167193070.1	WP_167193070.1		Stk1 family PASTA domain-containing Ser/Thr kinase	pknB		GUY30_RS00170	1893	630	
