# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	3178835	836	+							EW640_RS00005	1620		old_locus_tag=EW640_00005
CDS	with_protein	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	3178835	836	+	WP_165882369.1	WP_165882369.1		ATP-binding cassette domain-containing protein			EW640_RS00005	1620	539	
gene	protein_coding	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	923	1129	-							EW640_RS00010	207		old_locus_tag=EW640_00010
CDS	with_protein	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	923	1129	-	WP_165882371.1	WP_165882371.1		YbdD/YjiX family protein			EW640_RS00010	207	68	
gene	pseudogene	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	1330	3456	-							EW640_RS00015	2127		partial;pseudo;old_locus_tag=EW640_00015
CDS	without_protein	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	1330	3456	-				carbon starvation protein A			EW640_RS00015	2127		partial;pseudo
gene	protein_coding	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	3825	4841	+					trpS		EW640_RS00020	1017		old_locus_tag=EW640_00020
CDS	with_protein	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	3825	4841	+	WP_165882375.1	WP_165882375.1		tryptophan--tRNA ligase	trpS		EW640_RS00020	1017	338	
gene	protein_coding	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	4813	5454	+							EW640_RS00025	642		old_locus_tag=EW640_00025
CDS	with_protein	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	4813	5454	+	WP_165882377.1	WP_165882377.1		2'-5' RNA ligase family protein			EW640_RS00025	642	213	
gene	protein_coding	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	5566	6567	+							EW640_RS00030	1002		old_locus_tag=EW640_00030
CDS	with_protein	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	5566	6567	+	WP_243743642.1	WP_243743642.1		DUF2183 domain-containing protein			EW640_RS00030	1002	333	
gene	protein_coding	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	6593	7795	-							EW640_RS00035	1203		old_locus_tag=EW640_00035
CDS	with_protein	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	6593	7795	-	WP_243743478.1	WP_243743478.1		serine hydrolase			EW640_RS00035	1203	400	
gene	protein_coding	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	8080	8937	-							EW640_RS00040	858		old_locus_tag=EW640_00040
CDS	with_protein	GCF_011462075.1	Primary Assembly	chromosome		NZ_CP035810.1	8080	8937	-	WP_165882381.1	WP_165882381.1		hypothetical protein			EW640_RS00040	858	285	
