# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	14	1648	+					dnaA	60904416	CXR25_RS00005	1635		old_locus_tag=CXR25_00005
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	14	1648	+	WP_096146178.1	WP_096146178.1		chromosomal replication initiator protein DnaA	dnaA	60904416	CXR25_RS00005	1635	544	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	2190	3329	+					dnaN	60904417	CXR25_RS00010	1140		old_locus_tag=CXR25_00015
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	2190	3329	+	WP_181871734.1	WP_181871734.1		DNA polymerase III subunit beta	dnaN	60904417	CXR25_RS00010	1140	379	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	3330	4454	+					recF	60904418	CXR25_RS00015	1125		old_locus_tag=CXR25_00020
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	3330	4454	+	WP_009882740.1	WP_009882740.1		DNA replication/repair protein RecF	recF	60904418	CXR25_RS00015	1125	374	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	4451	4963	+						60904419	CXR25_RS00020	513		old_locus_tag=CXR25_00025
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	4451	4963	+	WP_009882739.1	WP_009882739.1		DciA family protein		60904419	CXR25_RS00020	513	170	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	5212	7209	+					gyrB	60904420	CXR25_RS00025	1998		old_locus_tag=CXR25_00030
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	5212	7209	+	WP_009882738.1	WP_009882738.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	60904420	CXR25_RS00025	1998	665	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	7319	9877	+					gyrA	60904421	CXR25_RS00030	2559		old_locus_tag=CXR25_00035
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	7319	9877	+	WP_125240258.1	WP_125240258.1		DNA gyrase subunit A	gyrA	60904421	CXR25_RS00030	2559	852	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	9874	10728	+						71052127	CXR25_RS18830	855		
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	9874	10728	+	WP_233430336.1	WP_233430336.1		DUF3566 domain-containing protein		71052127	CXR25_RS18830	855	284	
gene	tRNA	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	10946	11019	+						60904423	CXR25_RS00040	74		old_locus_tag=CXR25_00045
tRNA		GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	10946	11019	+				tRNA-Ile		60904423	CXR25_RS00040	74		anticodon=GAT
gene	tRNA	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	11171	11246	+						60904424	CXR25_RS00045	76		old_locus_tag=CXR25_00050
tRNA		GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	11171	11246	+				tRNA-Ala		60904424	CXR25_RS00045	76		anticodon=TGC
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	11559	12995	+						60904425	CXR25_RS00050	1437		old_locus_tag=CXR25_00055
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	11559	12995	+	WP_096161575.1	WP_096161575.1		DHA2 family efflux MFS transporter permease subunit		60904425	CXR25_RS00050	1437	478	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	13076	13858	+						60904426	CXR25_RS00055	783		old_locus_tag=CXR25_00060
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	13076	13858	+	WP_205676734.1	WP_205676734.1		potassium channel family protein		60904426	CXR25_RS00055	783	260	
gene	tRNA	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	14060	14132	+						60904427	CXR25_RS00060	73		old_locus_tag=CXR25_00065
tRNA		GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	14060	14132	+				tRNA-Ala		60904427	CXR25_RS00060	73		anticodon=TGC
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	14235	15608	-						60904428	CXR25_RS00065	1374		old_locus_tag=CXR25_00070
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	14235	15608	-	WP_096168430.1	WP_096168430.1		aldehyde dehydrogenase family protein		60904428	CXR25_RS00065	1374	457	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	15727	17073	-						60904429	CXR25_RS00070	1347		old_locus_tag=CXR25_00075
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	15727	17073	-	WP_096146183.1	WP_096146183.1		MFS transporter		60904429	CXR25_RS00070	1347	448	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	17151	17645	+						60904430	CXR25_RS00075	495		old_locus_tag=CXR25_00080
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	17151	17645	+	WP_125240259.1	WP_125240259.1		helix-turn-helix transcriptional regulator		60904430	CXR25_RS00075	495	164	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	17655	18254	+						60904431	CXR25_RS00080	600		old_locus_tag=CXR25_00085
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	17655	18254	+	WP_096161508.1	WP_096161508.1		dihydrofolate reductase family protein		60904431	CXR25_RS00080	600	199	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	18364	19683	-						60904433	CXR25_RS00090	1320		old_locus_tag=CXR25_00095
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	18364	19683	-	WP_009884813.1	WP_009884813.1		MFS transporter		60904433	CXR25_RS00090	1320	439	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	19680	20354	-						60904434	CXR25_RS00095	675		old_locus_tag=CXR25_00100
CDS	with_protein	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	19680	20354	-	WP_101598035.1	WP_101598035.1		TetR/AcrR family transcriptional regulator		60904434	CXR25_RS00095	675	224	
gene	protein_coding	GCF_003932995.1	Primary Assembly	chromosome		NZ_CP025333.1	20431	20787	-						60904435	CXR25_RS00100	357		old_locus_tag=CXR25_00105
