# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	160	2241	+						61003247	I6G59_RS00005	2082		old_locus_tag=I6G59_00005
CDS	with_protein	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	160	2241	+	WP_197932045.1	WP_197932045.1		phospholipid carrier-dependent glycosyltransferase		61003247	I6G59_RS00005	2082	693	
gene	protein_coding	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	2325	3536	+						61003248	I6G59_RS00010	1212		old_locus_tag=I6G59_00010
CDS	with_protein	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	2325	3536	+	WP_197932046.1	WP_197932046.1		acylneuraminate cytidylyltransferase		61003248	I6G59_RS00010	1212	403	
gene	protein_coding	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	3668	4555	+						61003249	I6G59_RS00015	888		old_locus_tag=I6G59_00015
CDS	with_protein	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	3668	4555	+	WP_009376254.1	WP_009376254.1		N-acetylneuraminate synthase family protein		61003249	I6G59_RS00015	888	295	
gene	protein_coding	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	4633	6261	-						61003250	I6G59_RS00020	1629		old_locus_tag=I6G59_00020
CDS	with_protein	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	4633	6261	-	WP_063250662.1	WP_063250662.1		polysaccharide pyruvyl transferase family protein		61003250	I6G59_RS00020	1629	542	
gene	protein_coding	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	6487	7461	+						61003251	I6G59_RS00025	975		old_locus_tag=I6G59_00025
CDS	with_protein	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	6487	7461	+	WP_063250664.1	WP_063250664.1		glycosyltransferase		61003251	I6G59_RS00025	975	324	
gene	protein_coding	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	7458	8849	+						61003252	I6G59_RS00030	1392		old_locus_tag=I6G59_00030
CDS	with_protein	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	7458	8849	+	WP_009376257.1	WP_009376257.1		hypothetical protein		61003252	I6G59_RS00030	1392	463	
gene	protein_coding	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	8851	9834	+						61003253	I6G59_RS00035	984		old_locus_tag=I6G59_00035
CDS	with_protein	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	8851	9834	+	WP_009376259.1	WP_009376259.1		hypothetical protein		61003253	I6G59_RS00035	984	327	
gene	protein_coding	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	9821	11167	+						61003254	I6G59_RS00040	1347		old_locus_tag=I6G59_00040
CDS	with_protein	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	9821	11167	+	WP_167560455.1	WP_167560455.1		hypothetical protein		61003254	I6G59_RS00040	1347	448	
gene	protein_coding	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	11212	11724	-						61003255	I6G59_RS00045	513		old_locus_tag=I6G59_00045
CDS	with_protein	GCF_016027415.1	Primary Assembly	chromosome		NZ_CP065682.1	11212	11724	-	WP_167560457.1	WP_167560457.1		GtrA family protein		61003255	I6G59_RS00045	513	170	
